,Coord,Contrib,Cos²
answer,0.41733469934608675,0.0036235675755662885,0.04430925862410549
art,-0.547374528836794,0.005754060660069077,0.04104275049247313
away,-0.032117419081109905,3.631850634688902e-05,0.0005555013112587895
ay,0.008954668475612344,3.336540438035448e-06,5.672043801121102e-05
bear,-0.07112474474496717,8.905496717861043e-05,0.0010436206301258932
believe,0.05987127002007067,9.178695135268908e-05,0.001038618851385359
better,0.11319417230741853,0.0002870781859417238,0.003389944333153143
blood,-0.2826237338269479,0.0015339899933684339,0.024152468499497506
body,0.2197409816294874,0.0010818677563083916,0.012472450379402492
bring,0.006105546797758642,6.562447394617424e-07,3.841293025900302e-06
brother,-0.03939323587694079,2.9802217521761014e-05,0.00037437581020626447
call,0.33667192347830566,0.003990804951786745,0.036855355649469526
cannot,0.7654821488344739,0.023444132353454984,0.20370533296682625
cause,-0.019882704702341897,8.857333183524189e-06,7.635149927764112e-05
come,0.003027558651997176,1.2175512314098663e-06,1.2289769504851534e-05
comes,-0.1904286398039546,0.001160696159660177,0.020447993180733332
could,0.24533534789647982,0.0026971326362327515,0.044177313448122625
daughter,0.0477496143925248,5.473372649785429e-05,0.00034267575125610693
day,0.3021852278568473,0.0024843878872051893,0.029675994408397098
dead,0.15849459918547543,0.0010050622602469576,0.007807938350937949
dear,0.10761536984712071,0.0004262854036987836,0.00552656305070508
death,-0.1282018075671768,0.0007364959271876194,0.006535869117253425
deed,-0.3910163346959193,0.002691575132281756,0.029847920061619227
denmark,0.040726680460071996,4.2471933286578086e-05,0.0005262418281449367
done,-0.41806134231226677,0.004475319288046829,0.06315820415475859
dost,0.3422889235885283,0.0022500437288478165,0.04006546159381113
doth,-0.15788165215055203,0.0007180585390074889,0.006648824889720489
drink,0.10371774958494451,0.0002582387735318731,0.001800398858783825
ear,-0.1617913528922182,0.0005864927798452262,0.006105395532335648
earth,0.17350746970633762,0.0007708686015941385,0.011776830542183933
else,0.04253081617705784,4.052840299478383e-05,0.00042979721217339137
en,0.33537293119027917,0.0025200436898130613,0.03596576138071676
end,0.16494619801273555,0.000609588374553325,0.010858266791500358
england,0.25620969684792616,0.0017859284996437318,0.019843661088305646
enter,0.08477242454373946,0.00043703561158974804,0.0053192129340925405
er,-0.06038923336241688,0.00012256383698002051,0.0018815809634947927
even,0.01877152353318798,9.02283568084334e-06,0.0001747436107426475
eye,-0.5426408544637995,0.005183721756940691,0.07574030750676382
eyes,-0.17281293422861005,0.0007169151675471905,0.012641961490546628
fair,0.01971344219584854,1.119493184158198e-05,0.00018888414163780972
father,-0.25841667768863885,0.006412337153283381,0.06453973145393084
fear,-1.0818487103915504,0.02996933230343382,0.13939924278333823
find,0.15351261998248736,0.000603437327693273,0.0054943205647280825
follow,-0.2765012986133322,0.002447081126846101,0.030313215129494503
form,-0.360966952293061,0.0025023044745522615,0.037949589425882196
free,-0.023027661125684117,9.335043926126077e-06,0.00010236437421345913
friends,0.5110654030076248,0.005016008124768561,0.05279163034264833
gertrude,-0.2093631532216437,0.000841793888519555,0.005247815064295545
give,-0.2748113049815515,0.0055596959538245306,0.04932934157757955
go,-0.027230175461837803,6.407943304393527e-05,0.0007576086280706464
god,0.4756676739325044,0.00977676241291956,0.09189941555511424
goes,-0.05969115812061515,6.27244290073425e-05,0.000600778907805732
gone,-0.1070905407816976,0.0002202457265642165,0.0007472847937287804
good,-0.04160605061318343,0.00023548103337859907,0.0017909394852439653
grace,-0.311404140197742,0.002017512053815858,0.04193198468981951
grave,-0.3028680264914964,0.001761619554948283,0.018615185157297022
great,0.6609103640643816,0.013281977700420038,0.1810519584689306
guildenstern,0.4499998688546591,0.004537084118656131,0.022295511904721236
hamlet,-0.4769320316995663,0.027302239217318502,0.11338219604200543
hand,-0.7905434656266223,0.012002087090193328,0.1039091061014825
hast,-1.107368370407535,0.021587429669135724,0.22275324167972543
hath,0.0595185443185494,0.0003061416247294585,0.004024805749476994
head,-0.20244844112547838,0.0012462538016909128,0.008342490374002318
hear,0.042170162564206574,5.691995751415366e-05,0.0005841129025493141
heart,-0.2247819095175753,0.0021024229157542043,0.051204511070217305
heaven,-0.07242435087588239,0.0002686230168719805,0.0031395792312059814
help,-0.8900244744975906,0.01521280035652032,0.13984326987355766
hold,0.10393430225223318,0.0003457576728471745,0.005993753754969794
honour,-0.5545541017346558,0.00590599548992773,0.06524537888005431
horatio,0.1440573068832326,0.0007638752522868399,0.005670347552239043
indeed,0.14535515483608138,0.0008791404146501078,0.0171910896871057
keep,0.1256614032989544,0.00037906971683121954,0.0036533306264159887
king,0.25352799212094834,0.007097819416421712,0.07284319278007807
know,0.2119907098356364,0.004531043470143213,0.057470893628414864
lady,0.1325166444356362,0.0003653492615804403,0.005687864711426932
laertes,-0.05530267900076894,0.00011747017159425264,0.0007807774488385276
last,0.46764936715128524,0.0041999678809431,0.028621732722204456
leave,-0.28222287044241917,0.0022944623496321086,0.026983715374706434
let,0.09169357700952603,0.0010629894216257416,0.011318138206816505
life,-0.13786231967905846,0.0008212567435751293,0.009444935937235829
like,0.11454367451418376,0.0013858307024357409,0.015518795808800818
little,0.17681995470389522,0.0007005104314040669,0.014119582026233677
long,-0.17172171382941195,0.0007078898880637711,0.0037223663779110744
look,0.06292710782428657,0.00019645417303915924,0.003064613605655506
lord,-0.5401758311670208,0.07611704560135103,0.08082731728444045
love,-0.12155616841039735,0.0010877669445525837,0.011160161322570474
mad,0.5608127243597769,0.010570098480152735,0.05817809022669567
madam,0.03369532664384444,1.998738821851698e-05,0.00013448922088821032
made,-0.10886999852667956,0.0003793765221568221,0.004609161108380198
madness,-0.18305906820016887,0.0011262266781127237,0.008535683953933245
majesty,0.745580637978893,0.009786016617346821,0.067578795275979
make,0.5661755164280071,0.021033427443113328,0.2643187762133539
makes,0.4263206800445813,0.004072160217892372,0.05220881344371886
man,0.30826863682972033,0.0069958507686264096,0.06956210037260538
many,-0.16732405453016128,0.00058248417763357,0.0070361386429450895
matter,0.4536811000077325,0.0062586259528117725,0.06822257854227264
may,-0.17034290939636942,0.0023218927028208227,0.023812413099221642
means,-0.12437911164976412,0.00044564745176786495,0.004973764651799359
men,0.43720976241040943,0.0033650878593350637,0.04381449136024246
might,0.04203314127838329,7.917093018657807e-05,0.0007441188474794629
mind,-0.46699468068366096,0.003839198558267698,0.042404985118246086
mine,-0.0608972193561862,0.0001424394172420623,0.0024567166010233134
mother,0.5460341171001464,0.020517858703288858,0.14891708009861612
much,-0.1194758987636405,0.0007995629799831567,0.007157919978602685
murder,-0.013670810893380665,3.290070907397476e-06,3.877607318303715e-05
must,-0.1377082411025047,0.0015174482460384663,0.01873720763664752
nature,-0.32438329961856843,0.003536391110099324,0.041288911948543006
nay,0.08979977257859,0.00027101528759403387,0.004606746289697583
never,-0.007793458262446962,1.5552651180924046e-06,1.950752649168722e-05
night,-0.05905287272068709,0.00013952309086827,0.0007030807342260743
noble,-0.5948665134765445,0.008494822807684304,0.0942320808302472
nothing,0.20803263055837257,0.001523735631916815,0.024833682012535357
old,0.5128016848324775,0.005050148561249169,0.03640867691463535
one,0.1415404342733147,0.0012504020463044152,0.01795326445995399
ophelia,-0.5091139990146476,0.007051849261952194,0.07096010482294426
part,0.5864945626686814,0.007706905559927897,0.13022286367357452
play,0.343507523039131,0.0052875508646078526,0.07168733132190118
players,0.9612277193807572,0.02218032231126032,0.17728223034343116
polonius,0.051046206280127585,4.587157465601351e-05,0.0005811598704217148
poor,-0.19190835693984867,0.0007072827099112004,0.008223302807931992
pray,-0.22905039260919036,0.0020151034378209924,0.016046283592673287
put,0.3061530565562444,0.0025500584904336716,0.024457913644147768
queen,0.13268559564595997,0.000788913902318717,0.007825901066089592
reason,0.15856717515631272,0.0005231111201762569,0.012659135318462475
rosencrantz,0.5959892502068985,0.008526918915782788,0.06945858753030859
say,0.3764336431685985,0.009297897188352668,0.1280135736117463
see,-0.07152814382803728,0.00029476806616249925,0.005694605980078745
seen,-0.25006482049142886,0.001401061678315979,0.02663244635832899
sense,-0.1088840276925393,0.0002087108664373024,0.0017510474901651794
set,-0.24965519553564114,0.0013964753492736956,0.023703102532015487
shall,0.19102587794073617,0.005255946541032055,0.05739540507974204
show,0.3143903549518277,0.0034800471657921526,0.03484514094277168
since,0.0001326978771423024,4.5089140241022746e-10,6.297313602854982e-09
sir,1.295303174299438,0.1449975421681302,0.4765120670839381
something,0.09194203086760794,0.00017587153674037003,0.0020903627842636234
son,-0.2982890252359181,0.0025631326104035156,0.04100993131469202
soul,0.07410940810919579,0.0002461097061643678,0.0062505756474485535
speak,-0.18554096795336542,0.0018180992888966571,0.022364352819734173
st,-0.7011035067229842,0.011013271244126372,0.12505677059522505
stand,-0.5813277344849092,0.006490039701474674,0.0993807919847391
stay,-0.6375188706065491,0.007154887264603822,0.11330920476291681
still,-0.4324563320795602,0.004489518869033193,0.0766157108621411
sweet,-0.7482673457406235,0.018817282377604508,0.17658015446052913
take,-0.09662870102371912,0.00041840256208155167,0.0073338952177613975
tell,0.34855870015364265,0.006027504866973894,0.06602850365294885
th,0.17731852417533503,0.002012761091357552,0.030809291533022864
thee,-0.4170239036234294,0.010576196624779509,0.08788816076419072
