Valjean_1,Valjean_2,Valjean_3,Valjean_4,Valjean_5
accusé (2.04),mestienne (4.97),ursule (3.52),babylone (1.78),noce (1.68)
gervai (1.53),fossoyeur (4.5),tableau (3.38),plumet (1.43),marié (1.15)
maire (1.53),corbillard (3.68),jondrette (2.87),luxembourg (1.21),mariage (1.12)
président (1.4),cimetière (3.3),réchaud (1.95),miroir (1.09),calvaire (0.97)
avocat (1.32),bière (3.0),luxembourg (1.83),promenade (1.01),filles (0.95)
infanterie (-0.6),infanterie (-0.61),wellington (-0.61),infanterie (-0.59),wellington (-0.46)
cuirassier (-0.59),wellington (-0.58),sacrement (-0.58),cuirassier (-0.57),brigade (-0.45)
wellington (-0.57),cuirassier (-0.57),cuirassier (-0.58),blücher (-0.57),blücher (-0.45)
hucheloup (-0.55),historien (-0.54),division (-0.57),historien (-0.53),hougomont (-0.44)
hougomont (-0.54),blücher (-0.54),historien (-0.56),wellington (-0.52),infanterie (-0.43)
