Cosette-Valjean_1,Cosette-Valjean_2,Cosette-Valjean_4,Cosette-Valjean_5
religieuse (2.78),mestienne (4.54),babylone (1.92),noce (2.91)
maire (2.27),corbillard (3.42),plumet (1.5),marié (2.08)
médecin (2.22),fossoyeur (3.17),luxembourg (1.31),mariage (1.94)
maladie (2.11),cimetière (2.81),miroir (1.17),baron (1.56)
soeur (1.91),bière (2.3),promenade (1.09),mardi (1.48)
infanterie (-0.73),infanterie (-0.6),infanterie (-0.6),brigade (-0.55)
cuirassier (-0.7),wellington (-0.58),cuirassier (-0.56),cuirassier (-0.55)
division (-0.65),cuirassier (-0.58),blücher (-0.56),hougomont (-0.54)
batterie (-0.65),blücher (-0.53),historien (-0.53),infanterie (-0.53)
brigade (-0.63),historien (-0.53),wellington (-0.52),wellington (-0.53)
