Cosette-Valjean_1,Cosette-Valjean_2,Cosette-Valjean_4,Cosette-Valjean_5
maladie (0.49),façade (0.68),promenade (0.5),noce (1.27)
médecin (0.48),corbillard (0.66),chaîne (0.47),marié (0.93)
demain (0.33),mestienne (0.6),blessure (0.46),mardi (0.89)
surprise (0.28),bâtiment (0.56),tuyau (0.45),mariage (0.86)
auprès (0.28),cul (0.55),luxembourg (0.44),file (0.65)
mentir (-0.52),pelle (-1.22),réverbère (-0.52),couloir (-0.9)
mensonge (-0.46),seau (-0.79),volupté (-0.43),galerie (-0.87)
charité (-0.38),carte (-0.77),émeute (-0.38),voûte (-0.78)
gargote (-0.34),source (-0.47),céleste (-0.36),égout (-0.7)
montreuil (-0.27),pioche (-0.46),merry (-0.31),ceinture (-0.68)
