Cosette-Valjean_1,Cosette-Valjean_2,Cosette-Valjean_4,Cosette-Valjean_5
demander (0.42),rue (0.53),jean (0.41),jean (0.53)
voir (0.4),jean (0.52),journée (0.24),marier (0.32)
lire (0.4),ruelle (0.48),semaine (0.23),marié (0.28)
rassurer (0.38),boulevard (0.45),mardi (0.23),mentir (0.26)
pleurer (0.38),quai (0.39),soir (0.23),oser (0.25)
faubourg (-0.43),féroce (-0.28),armée (-0.29),extrémité (-0.33)
boulevard (-0.39),souverain (-0.27),fer (-0.29),muraille (-0.33)
rue (-0.39),nation (-0.26),peuple (-0.28),colline (-0.32)
souterrain (-0.38),héroïque (-0.26),or (-0.28),barricade (-0.31)
pont (-0.36),suprême (-0.26),archevêque (-0.25),armée (-0.31)
