Marius-Valjean,Javert,Javert-Valjean,Myriel,Myriel-Valjean
jean (0.35),saisir (0.34),jean (0.54),évêque (0.59),évêque (0.55)
questionner (0.31),jean (0.34),denis (0.31),archevêque (0.52),archevêque (0.46)
essayer (0.31),placer (0.31),jacques (0.3),prêtre (0.45),prêtre (0.42)
oser (0.31),retirer (0.29),saisir (0.3),abbé (0.39),âme (0.42)
poser (0.29),dégager (0.29),philippe (0.28),souverain (0.38),abbé (0.39)
peuple (-0.37),gai (-0.31),an (-0.28),rue (-0.31),pente (-0.26)
roi (-0.37),riche (-0.3),riche (-0.27),jambe (-0.29),grille (-0.23)
armée (-0.33),an (-0.29),fête (-0.25),ruelle (-0.29),barricade (-0.23)
empereur (-0.32),roi (-0.28),gai (-0.24),coude (-0.27),coude (-0.22)
empire (-0.32),joyeux (-0.27),joyeux (-0.23),poing (-0.27),pied (-0.22)
