Marius-Valjean,Javert,Javert-Valjean,Myriel,Myriel-Valjean
rue (0.35),serrer (0.34),rue (0.35),évêque (0.43),ange (0.37)
boulevard (0.35),glisser (0.34),boulevard (0.34),divin (0.4),évêque (0.31)
souterrain (0.35),forcer (0.34),autorité (0.33),humble (0.39),âme (0.31)
bastille (0.35),bouger (0.33),civil (0.33),bonté (0.38),amour (0.29)
carrefour (0.34),aller (0.32),loi (0.33),archevêque (0.37),aurore (0.28)
réveiller (-0.33),roi (-0.33),dormir (-0.35),rue (-0.36),système (-0.28)
endormir (-0.32),dieu (-0.31),aller (-0.33),ruelle (-0.32),long (-0.26)
pleurer (-0.32),gai (-0.31),repartir (-0.32),fenêtre (-0.28),terme (-0.26)
dormir (-0.31),éternel (-0.3),emmener (-0.29),portière (-0.28),situation (-0.25)
écouter (-0.28),père (-0.3),réveiller (-0.29),pantalon (-0.28),logique (-0.25)
