aimer,rue,justice,guerre
Cosette-Marius_4 (0.31),Courfeyrac_4 (0.4),Grantaire-Javert_5 (0.36),Grantaire-Pontmercy_4 (1.26)
Myriel_1 (0.29),T5 (0.29),Champmathieu-Valjean_1 (0.36),Marius-Pontmercy_4 (1.22)
T4 (0.28),Courfeyrac-Grantaire_4 (0.28),Grantaire_4 (0.31),Pontmercy_4 (1.22)
Marius-Valjean_4 (0.22),Marius-Prouvaire_4 (0.26),Javert-Valjean_1 (0.27),Grantaire_2 (0.65)
Myriel-Valjean_1 (0.21),Grantaire-Prouvaire_4 (0.24),Champmathieu_1 (0.23),Enjolras_5 (0.5)
Grantaire_4 (-0.3),Fauchelevent-Javert_2 (-0.23),Champmathieu-Grantaire_1 (-0.26),Cosette_4 (-0.52)
T5 (-0.16),Cosette-Fauchelevent_2 (-0.2),Grantaire-Javert_1 (-0.26),Cosette-Grantaire_4 (-0.38)
Courfeyrac_4 (-0.16),T1 (-0.18),Grantaire_1 (-0.25),Fauchelevent_2 (-0.35)
Grantaire_1 (-0.16),Fauchelevent_2 (-0.18),T2 (-0.21),Mabeuf_4 (-0.35)
Mabeuf-Pontmercy_3 (-0.15),Grantaire-Valjean_5 (-0.17),Fantine-Gervais_1 (-0.21),Grantaire-Mabeuf_4 (-0.34)
