,T1,T2,T3,T4,T5,Cosette_1,Cosette-Valjean_1,Valjean_1,Javert_1,Javert-Valjean_1,Myriel_1,Myriel-Valjean_1,Cosette_2,Cosette-Valjean_2,Valjean_2,Javert_2,Javert-Valjean_2,Marius_3,Valjean_3,Marius-Valjean_3,Javert_3,Cosette_4,Cosette-Marius_4,Cosette-Valjean_4,Marius_4,Valjean_4,Marius-Valjean_4,Javert_4,Cosette_5,Cosette-Marius_5,Cosette-Valjean_5,Marius_5,Valjean_5,Marius-Valjean_5,Javert_5,Javert-Valjean_5
0,huissier (1.4),cuirassier (3.38),gamin (1.92),émeute (1.48),sable (3.04),gargote (0.59),maladie (0.49),chandelier (1.03),arras (1.39),accusé (1.48),conventionnel (2.47),deuil (1.11),seau (1.48),façade (0.68),pelle (2.6),cul (0.56),cul (0.56),jondrette (1.97),ursule (1.49),ursule (1.49),bonjour (1.49),ravissant (1.11),volupté (0.79),promenade (0.5),torche (1.08),réverbère (0.98),luxembourg (0.72),poteau (0.75),encre (0.76),encre (0.7),noce (1.27),issue (0.81),matelas (2.54),issue (1.07),poteau (0.47),portier (0.42)
1,hôte (1.11),infanterie (2.9),mine (1.38),révolte (0.86),berge (2.32),balayer (0.57),médecin (0.48),toulon (0.8),roue (1.38),nier (0.86),évêque (1.43),chandelier (1.03),poupée (0.99),corbillard (0.66),fossoyeur (2.35),mendiant (0.48),mendiant (0.48),réchaud (1.37),luxembourg (1.06),luxembourg (1.06),bandit (1.09),céleste (0.76),amant (0.78),chaîne (0.47),assaillant (0.91),hausser (0.45),tambour (0.66),municipal (0.72),plume (0.59),noce (0.6),marié (0.93),assaillant (0.75),ronde (1.96),vase (1.04),chandelier (0.44),chandelier (0.42)
2,arras (0.92),sacrement (2.69),farce (0.81),bourgeoisie (0.84),égout (2.16),alouette (0.56),demain (0.33),gervai (0.73),malle (1.08),animal (0.81),philosophie (1.21),aveugle (0.96),source (0.84),mestienne (0.6),pioche (1.51),picpus (0.4),picpus (0.4),galetas (1.2),tableau (0.93),tableau (0.93),agent (0.93),volupté (0.67),parfum (0.59),blessure (0.46),civil (0.48),promenade (0.37),absorber (0.44),mouchard (0.7),noce (0.49),mariage (0.58),mardi (0.89),serrure (0.63),galerie (1.06),couloir (0.95),lier (0.42),quai (0.41)
3,lampe (0.91),brigade (2.41),ignorance (0.74),populaire (0.82),voûte (1.9),servante (0.43),surprise (0.28),bagne (0.65),cabriolet (0.97),avocat (0.73),infini (0.99),panier (0.92),gargote (0.71),bâtiment (0.56),carte (1.39),plan (0.38),plan (0.38),tableau (1.11),banc (0.81),banc (0.81),bouge (0.78),frémir (0.64),luxembourg (0.57),tuyau (0.45),poudre (0.47),lanterne (0.36),tranquillité (0.41),bayonnette (0.42),chandelier (0.48),plume (0.57),mariage (0.86),encre (0.57),lanterne (0.99),égout (0.94),fiacre (0.38),fiacre (0.39)
4,montreuil (0.81),division (2.4),jondrette (0.7),insurrection (0.81),vase (1.89),mois (0.34),auprès (0.28),maire (0.57),accusé (0.77),fonction (0.6),prêtre (0.94),gendarme (0.88),mestienne (0.64),cul (0.55),mestienne (1.35),carrefour (0.34),carrefour (0.34),bouge (1.04),mouchoir (0.77),mouchoir (0.77),croisé (0.62),lancier (0.6),amour (0.54),luxembourg (0.44),luxembourg (0.45),tuyau (0.35),écriture (0.39),lier (0.42),antichambre (0.47),marié (0.44),file (0.65),blessé (0.55),rive (0.99),souterrain (0.79),portier (0.36),cocher (0.38)
5,cuirassier (-0.95),sable (-0.79),cuirassier (-1.02),sable (-0.76),sacrement (-0.7),mensonge (-0.43),mentir (-0.52),hôte (-0.73),hôte (-0.39),arras (-1.22),huissier (-1.08),cathédrale (-0.4),cuirassier (-1.8),pelle (-1.22),cuirassier (-1.79),mestienne (-1.36),mestienne (-1.36),gamin (-2.0),réchaud (-0.43),réchaud (-0.43),gamin (-0.35),émeute (-1.04),torche (-0.88),réverbère (-0.52),argot (-0.7),volupté (-0.49),volet (-0.56),hucheloup (-0.35),égout (-1.07),égout (-0.94),couloir (-0.9),matelas (-1.16),sable (-1.06),matelas (-1.95),égout (-0.72),égout (-0.73)
6,infanterie (-0.86),gamin (-0.71),infanterie (-0.92),sacrement (-0.76),cuirassier (-0.67),mentir (-0.42),mensonge (-0.46),élégant (-0.67),mensonge (-0.34),cabriolet (-1.02),hôte (-0.79),fabrique (-0.3),infanterie (-1.54),seau (-0.79),sacrement (-1.7),corbillard (-1.15),corbillard (-1.15),mine (-1.42),messe (-0.38),messe (-0.38),ignorance (-0.22),torche (-0.85),assaillant (-0.62),volupté (-0.43),émeute (-0.61),émeute (-0.46),ravissant (-0.53),chanvrerie (-0.24),voûte (-1.0),couloir (-0.88),galerie (-0.87),sable (-0.97),grève (-0.86),prévoir (-0.85),cloaque (-0.63),matelas (-0.65)
7,sable (-0.83),cloaque (-0.69),batterie (-0.75),cuirassier (-0.73),office (-0.53),atelier (-0.38),charité (-0.38),conventionnel (-0.61),lampe (-0.31),roue (-1.0),arras (-0.7),nomme (-0.28),pelle (-1.37),carte (-0.77),infanterie (-1.54),fossoyeur (-1.13),fossoyeur (-1.13),ignorance (-1.14),bouge (-0.36),bouge (-0.36),tableau (-0.21),insurrection (-0.77),civil (-0.55),émeute (-0.38),historien (-0.59),populaire (-0.4),babylone (-0.5),mondétour (-0.23),sable (-0.99),voûte (-0.84),voûte (-0.78),grève (-0.92),insurrection (-0.6),ronde (-0.77),galerie (-0.58),galerie (-0.62)
8,batterie (-0.73),souterrain (-0.66),division (-0.74),berge (-0.62),infanterie (-0.51),intelligent (-0.28),gargote (-0.34),navire (-0.47),dimanche (-0.27),malle (-0.99),auberge (-0.6),souper (-0.27),sacrement (-1.34),source (-0.47),prieur (-1.33),bière (-0.85),bière (-0.85),voltaire (-0.9),allemand (-0.34),allemand (-0.34),théâtre (-0.17),merry (-0.7),poudre (-0.52),céleste (-0.36),bourgeoisie (-0.52),céleste (-0.39),tuyau (-0.4),halle (-0.2),galerie (-0.94),galerie (-0.78),égout (-0.7),berge (-0.77),cloaque (-0.54),mansarde (-0.69),voûte (-0.55),voûte (-0.61)
9,division (-0.73),égout (-0.66),plateau (-0.73),infanterie (-0.62),plateau (-0.49),blancheur (-0.21),montreuil (-0.27),nomme (-0.41),charité (-0.26),lieue (-0.64),cabriolet (-0.57),curé (-0.26),division (-1.27),pioche (-0.46),division (-1.33),cimetière (-0.84),cimetière (-0.84),rome (-0.89),jacques (-0.26),jacques (-0.26),philosophie (-0.16),philippe (-0.68),boucher (-0.37),merry (-0.31),langue (-0.45),juillet (-0.37),poêle (-0.38),grantair (-0.2),couloir (-0.93),souterrain (-0.73),ceinture (-0.68),ronde (-0.57),progrès (-0.49),assaillant (-0.68),couloir (-0.53),cloaque (-0.6)
