,Cosette,Cosette-Marius,Cosette-Valjean,Marius,Valjean,Marius-Valjean,Javert,Javert-Valjean,Myriel,Myriel-Valjean
0,poupée (0.74),noce (1.96),noce (1.08),théodule (0.66),mestienne (0.57),noce (1.33),accusé (1.72),accusé (2.12),conventionnel (7.27),chandelier (6.28)
1,noce (0.7),marié (1.4),mestienne (1.05),vernon (0.57),fossoyeur (0.52),marié (0.91),arras (1.22),avocat (1.29),évêque (3.98),gendarme (5.06)
2,mestienne (0.62),mariage (1.39),marié (0.75),ursule (0.57),accusé (0.51),mariage (0.91),avocat (1.13),preuve (1.25),hôpital (2.57),panier (4.72)
3,marié (0.5),baron (1.11),corbillard (0.71),tante (0.55),maire (0.41),tableau (0.78),mouchard (1.1),président (1.23),cathédrale (2.57),couvert (4.64)
4,seau (0.49),marier (1.03),mariage (0.71),noce (0.54),gervai (0.41),baron (0.77),preuve (1.08),forçat (1.12),curé (2.47),deuil (4.52)
5,infanterie (-0.58),brigade (-0.55),infanterie (-0.59),wellington (-0.39),infanterie (-0.53),wellington (-0.49),infanterie (-0.49),infanterie (-0.51),cuirassier (-0.64),blücher (-0.85)
6,cuirassier (-0.56),hougomont (-0.54),cuirassier (-0.57),plateau (-0.39),wellington (-0.53),hougomont (-0.48),wellington (-0.47),cuirassier (-0.5),infanterie (-0.59),infanterie (-0.78)
7,wellington (-0.55),cuirassier (-0.53),wellington (-0.56),blücher (-0.38),cuirassier (-0.52),blücher (-0.47),cuirassier (-0.47),brigade (-0.5),bayonnette (-0.55),charte (-0.77)
8,blücher (-0.52),escadron (-0.53),blücher (-0.53),sacrement (-0.38),blücher (-0.5),brigade (-0.47),brigade (-0.47),wellington (-0.49),assaillant (-0.55),prussien (-0.76)
9,division (-0.5),division (-0.53),brigade (-0.51),guide (-0.37),brigade (-0.48),cuirassier (-0.47),sacrement (-0.46),hougomont (-0.47),batterie (-0.54),berge (-0.74)
